,Agency Name,Employee Last Name,Employee First Name,Participant Last Name,Participant First Name,Participant Timezone,Scheduled Visit Start,Scheduled Visit End,Actual Visit Start,Actual Visit End,Notes,Status ,SVS,SVE,DayOftheWeek,WeekOfyear,Day,Month,Year,hourDigit,SchedMin,AcctMIn,StartDif,EndDif,HoursDif,Untis,Difference,Code,Timelaps,Split,split_csum,Count,Grouping,MaxSVS,MinSVS,StartDate,EndDate
110,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-01-22 13:00:00,2022-01-22 21:00:00,2022-01-22 13:00:23,2022-01-23 08:00:45,,Complete Real Time,2022-01-22 13:00:00,2022-01-22 21:00:00,5,3,22,1,2022,13,480.0,1140.3666666666666,0.38333333333333336,660.75,11.006111111111109,32.0,660.3666666666666,13_John_Smith,13,1,1,1,1_3_1,23,22,1/22/2022,1/23/2022
112,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-01-23 13:00:00,2022-01-23 20:00:00,2022-01-23 13:00:47,2022-01-23 20:43:14,,Complete Real Time,2022-01-23 13:00:00,2022-01-23 20:00:00,6,3,23,1,2022,13,420.0,462.45,0.7833333333333333,43.233333333333334,0.7074999999999998,28.0,42.44999999999999,13_John_Smith,1,0,1,1,1_3_1,23,22,1/22/2022,1/23/2022
123,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-01-29 13:00:00,2022-01-29 21:00:00,2022-01-29 13:01:02,2022-01-29 21:00:13,,Complete Real Time,2022-01-29 13:00:00,2022-01-29 21:00:00,5,4,29,1,2022,13,480.0,479.18333333333334,1.0333333333333334,0.21666666666666667,-0.013611111111111048,32.0,-0.8166666666666629,13_John_Smith,6,1,1,1,1_4_1,30,29,1/29/2022,1/30/2022
125,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-01-30 13:00:00,2022-01-30 20:00:00,2022-01-30 13:00:00,2022-01-30 20:00:00,,Completed Manually,2022-01-30 13:00:00,2022-01-30 20:00:00,6,4,30,1,2022,13,420.0,420.0,0.0,0.0,0.0,28.0,0.0,13_John_Smith,1,0,1,1,1_4_1,30,29,1/29/2022,1/30/2022
136,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-02-05 13:00:00,2022-02-05 21:00:00,2022-02-05 13:00:00,2022-02-05 21:00:00,,Completed Manually,2022-02-05 13:00:00,2022-02-05 21:00:00,5,5,5,2,2022,13,480.0,480.0,0.0,0.0,0.0,32.0,0.0,13_John_Smith,6,1,1,1,2_5_1,6,5,2/5/2022,2/6/2022
138,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-02-06 13:00:00,2022-02-06 20:00:00,2022-02-06 13:00:00,2022-02-06 20:00:00,,Completed Manually,2022-02-06 13:00:00,2022-02-06 20:00:00,6,5,6,2,2022,13,420.0,420.0,0.0,0.0,0.0,28.0,0.0,13_John_Smith,1,0,1,1,2_5_1,6,5,2/5/2022,2/6/2022
150,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-02-12 13:00:00,2022-02-12 21:00:00,2022-02-12 13:00:34,2022-02-12 21:00:39,,Complete Real Time,2022-02-12 13:00:00,2022-02-12 21:00:00,5,6,12,2,2022,13,480.0,480.0833333333333,0.5666666666666667,0.65,0.001388888888888573,32.0,0.08333333333331439,13_John_Smith,6,1,1,1,2_6_1,13,12,2/12/2022,2/13/2022
152,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-02-13 13:00:00,2022-02-13 20:00:00,2022-02-13 13:01:47,2022-02-13 20:55:43,,Complete Real Time,2022-02-13 13:00:00,2022-02-13 20:00:00,6,6,13,2,2022,13,420.0,473.93333333333334,1.7833333333333334,55.71666666666667,0.898888888888889,28.0,53.93333333333334,13_John_Smith,1,0,1,1,2_6_1,13,12,2/12/2022,2/13/2022
164,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-02-19 13:00:00,2022-02-19 21:00:00,2022-02-19 14:09:34,2022-02-19 21:00:30,,Complete Real Time,2022-02-19 13:00:00,2022-02-19 21:00:00,5,7,19,2,2022,13,480.0,410.93333333333334,69.56666666666666,0.5,-1.151111111111111,32.0,-69.06666666666666,13_John_Smith,6,1,1,1,2_7_1,20,19,2/19/2022,2/20/2022
166,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-02-20 13:00:00,2022-02-20 20:00:00,2022-02-20 13:00:39,2022-02-20 21:01:26,,Complete Real Time,2022-02-20 13:00:00,2022-02-20 20:00:00,6,7,20,2,2022,13,420.0,480.78333333333336,0.65,61.43333333333333,1.013055555555556,28.0,60.78333333333336,13_John_Smith,1,0,1,1,2_7_1,20,19,2/19/2022,2/20/2022
178,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-02-26 13:00:00,2022-02-26 21:00:00,2022-02-26 13:00:59,2022-02-27 08:00:50,,Complete Real Time,2022-02-26 13:00:00,2022-02-26 21:00:00,5,8,26,2,2022,13,480.0,1139.85,0.9833333333333333,660.8333333333334,10.997499999999999,32.0,659.8499999999999,13_John_Smith,6,1,1,1,2_8_1,27,26,2/26/2022,2/27/2022
180,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-02-27 13:00:00,2022-02-27 20:00:00,2022-02-27 13:01:31,2022-02-28 05:00:57,,Complete Real Time,2022-02-27 13:00:00,2022-02-27 20:00:00,6,8,27,2,2022,13,420.0,959.4333333333333,1.5166666666666666,540.95,8.990555555555554,28.0,539.4333333333333,13_John_Smith,1,0,1,1,2_8_1,27,26,2/26/2022,2/27/2022
192,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-03-05 13:00:00,2022-03-05 21:00:00,2022-03-05 13:01:26,2022-03-05 21:00:35,,Complete Real Time,2022-03-05 13:00:00,2022-03-05 21:00:00,5,9,5,3,2022,13,480.0,479.15,1.4333333333333333,0.5833333333333334,-0.014166666666667046,32.0,-0.8500000000000227,13_John_Smith,6,1,1,1,3_9_1,6,5,3/5/2022,3/6/2022
194,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-03-06 13:00:00,2022-03-06 20:00:00,2022-03-06 13:00:38,2022-03-06 21:00:57,,Complete Real Time,2022-03-06 13:00:00,2022-03-06 20:00:00,6,9,6,3,2022,13,420.0,480.31666666666666,0.6333333333333333,60.95,1.0052777777777777,28.0,60.31666666666666,13_John_Smith,1,0,1,1,3_9_1,6,5,3/5/2022,3/6/2022
206,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-03-12 13:00:00,2022-03-12 21:00:00,2022-03-12 13:01:55,2022-03-13 08:00:26,,Complete Real Time,2022-03-12 13:00:00,2022-03-12 21:00:00,5,10,12,3,2022,13,480.0,1138.5166666666667,1.9166666666666667,660.4333333333333,10.975277777777778,32.0,658.5166666666667,13_John_Smith,6,1,1,1,3_10_1,13,12,3/12/2022,3/13/2022
208,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-03-13 13:00:00,2022-03-13 20:00:00,2022-03-13 13:02:25,2022-03-13 20:40:09,,Complete Real Time,2022-03-13 13:00:00,2022-03-13 20:00:00,6,10,13,3,2022,13,420.0,457.73333333333335,2.4166666666666665,40.15,0.6288888888888892,28.0,37.73333333333335,13_John_Smith,1,0,1,1,3_10_1,13,12,3/12/2022,3/13/2022
220,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-03-19 13:00:00,2022-03-19 21:00:00,2022-03-19 13:00:00,2022-03-19 21:00:00,,Completed Manually,2022-03-19 13:00:00,2022-03-19 21:00:00,5,11,19,3,2022,13,480.0,480.0,0.0,0.0,0.0,32.0,0.0,13_John_Smith,6,1,1,1,3_11_1,20,19,3/19/2022,3/20/2022
222,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-03-20 13:00:00,2022-03-20 20:00:00,2022-03-20 13:00:51,2022-03-21 05:01:29,,Complete Real Time,2022-03-20 13:00:00,2022-03-20 20:00:00,6,11,20,3,2022,13,420.0,960.6333333333333,0.85,541.4833333333333,9.010555555555555,28.0,540.6333333333333,13_John_Smith,1,0,1,1,3_11_1,20,19,3/19/2022,3/20/2022
234,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-03-26 13:00:00,2022-03-26 21:00:00,2022-03-26 13:00:52,2022-03-27 08:00:33,,Complete Real Time,2022-03-26 13:00:00,2022-03-26 21:00:00,5,12,26,3,2022,13,480.0,1139.6833333333334,0.8666666666666667,660.55,10.994722222222224,32.0,659.6833333333334,13_John_Smith,6,1,1,1,3_12_1,27,26,3/26/2022,3/27/2022
236,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-03-27 13:00:00,2022-03-27 20:00:00,2022-03-27 13:00:47,2022-03-27 21:02:00,,Complete Real Time,2022-03-27 13:00:00,2022-03-27 20:00:00,6,12,27,3,2022,13,420.0,481.21666666666664,0.7833333333333333,62.0,1.0202777777777774,28.0,61.21666666666664,13_John_Smith,1,0,1,1,3_12_1,27,26,3/26/2022,3/27/2022
248,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-04-02 13:00:00,2022-04-02 21:00:00,2022-04-02 13:00:00,2022-04-02 21:00:00,,Completed Manually,2022-04-02 13:00:00,2022-04-02 21:00:00,5,13,2,4,2022,13,480.0,480.0,0.0,0.0,0.0,32.0,0.0,13_John_Smith,6,1,1,1,4_13_1,3,2,4/2/2022,4/3/2022
250,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-04-03 13:00:00,2022-04-03 20:00:00,2022-04-03 13:10:06,2022-04-03 21:02:38,,Complete Real Time,2022-04-03 13:00:00,2022-04-03 20:00:00,6,13,3,4,2022,13,420.0,472.53333333333336,10.1,62.63333333333333,0.875555555555556,28.0,52.53333333333336,13_John_Smith,1,0,1,1,4_13_1,3,2,4/2/2022,4/3/2022
262,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-04-09 13:00:00,2022-04-09 21:00:00,2022-04-09 13:00:00,2022-04-09 21:00:00,,Completed Manually,2022-04-09 13:00:00,2022-04-09 21:00:00,5,14,9,4,2022,13,480.0,480.0,0.0,0.0,0.0,32.0,0.0,13_John_Smith,6,1,1,1,4_14_1,10,9,4/9/2022,4/10/2022
264,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-04-10 13:00:00,2022-04-10 20:00:00,2022-04-10 13:01:58,2022-04-10 21:00:50,,Complete Real Time,2022-04-10 13:00:00,2022-04-10 20:00:00,6,14,10,4,2022,13,420.0,478.8666666666667,1.9666666666666666,60.833333333333336,0.9811111111111113,28.0,58.866666666666674,13_John_Smith,1,0,1,1,4_14_1,10,9,4/9/2022,4/10/2022
276,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-04-16 13:00:00,2022-04-16 21:00:00,2022-04-16 13:00:54,2022-04-17 08:00:32,,Complete Real Time,2022-04-16 13:00:00,2022-04-16 21:00:00,5,15,16,4,2022,13,480.0,1139.6333333333334,0.9,660.5333333333333,10.993888888888891,32.0,659.6333333333334,13_John_Smith,6,1,1,1,4_15_1,17,16,4/16/2022,4/17/2022
278,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-04-17 13:00:00,2022-04-17 20:00:00,2022-04-17 13:01:59,2022-04-18 05:00:34,,Complete Real Time,2022-04-17 13:00:00,2022-04-17 20:00:00,6,15,17,4,2022,13,420.0,958.5833333333334,1.9833333333333334,540.5666666666667,8.97638888888889,28.0,538.5833333333334,13_John_Smith,1,0,1,1,4_15_1,17,16,4/16/2022,4/17/2022
290,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-04-23 13:00:00,2022-04-23 21:00:00,2022-04-23 13:00:00,2022-04-23 21:00:00,,Completed Manually,2022-04-23 13:00:00,2022-04-23 21:00:00,5,16,23,4,2022,13,480.0,480.0,0.0,0.0,0.0,32.0,0.0,13_John_Smith,6,1,1,1,4_16_1,24,23,4/23/2022,4/24/2022
292,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-04-24 13:00:00,2022-04-24 20:00:00,2022-04-24 12:42:02,2022-04-24 20:58:19,,Complete Real Time,2022-04-24 13:00:00,2022-04-24 20:00:00,6,16,24,4,2022,13,420.0,496.28333333333336,-17.966666666666665,58.31666666666667,1.2713888888888893,28.0,76.28333333333336,13_John_Smith,1,0,1,1,4_16_1,24,23,4/23/2022,4/24/2022
304,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2022-04-30 13:00:00,2022-04-30 21:00:00,2022-04-30 13:00:59,2022-05-01 08:01:36,,Complete Real Time,2022-04-30 13:00:00,2022-04-30 21:00:00,5,17,30,4,2022,13,480.0,1140.6166666666666,0.9833333333333333,661.6,11.010277777777777,32.0,660.6166666666666,13_John_Smith,6,1,1,1,4_17_1,30,30,4/30/2022,4/30/2022
1,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-11-01 17:00:00,2021-11-01 21:00:00,2021-11-01 20:19:52,2021-11-01 21:00:11,,Complete Real Time,2021-11-01 17:00:00,2021-11-01 21:00:00,0,44,1,11,2021,17,240.0,40.31666666666667,199.86666666666667,0.18333333333333332,-3.3280555555555558,16.0,-199.68333333333334,17_John_Smith,-179,0,0,1,11_44_0,3,1,11/1/2021,11/3/2021
3,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-11-02 17:00:00,2021-11-02 21:00:00,2021-11-02 17:04:40,2021-11-02 21:00:16,,Complete Real Time,2021-11-02 17:00:00,2021-11-02 21:00:00,1,44,2,11,2021,17,240.0,235.6,4.666666666666667,0.26666666666666666,-0.07333333333333343,16.0,-4.400000000000006,17_John_Smith,1,0,0,1,11_44_0,3,1,11/1/2021,11/3/2021
5,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-11-03 17:00:00,2021-11-03 21:00:00,2021-11-03 16:54:06,2021-11-03 20:59:26,,Complete Real Time,2021-11-03 17:00:00,2021-11-03 21:00:00,2,44,3,11,2021,17,240.0,245.33333333333334,-5.9,-0.5666666666666667,0.08888888888888904,16.0,5.333333333333343,17_John_Smith,1,0,0,1,11_44_0,3,1,11/1/2021,11/3/2021
7,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-11-05 17:00:00,2021-11-05 21:00:00,2021-11-05 16:50:17,2021-11-05 21:00:37,,Complete Real Time,2021-11-05 17:00:00,2021-11-05 21:00:00,4,44,5,11,2021,17,240.0,250.33333333333334,-9.716666666666667,0.6166666666666667,0.1722222222222224,16.0,10.333333333333343,17_John_Smith,2,1,1,1,11_44_1,5,1,11/1/2021,11/5/2021
10,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-11-12 17:00:00,2021-11-12 21:00:00,2021-11-12 16:51:04,2021-11-12 21:00:21,,Complete Real Time,2021-11-12 17:00:00,2021-11-12 21:00:00,4,45,12,11,2021,17,240.0,249.28333333333333,-8.933333333333334,0.35,0.15472222222222218,16.0,9.283333333333331,17_John_Smith,7,1,1,1,11_45_1,12,12,11/12/2021,11/12/2021
17,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-11-18 17:00:00,2021-11-18 21:00:00,2021-11-18 16:48:48,2021-11-18 21:04:20,,Complete Real Time,2021-11-18 17:00:00,2021-11-18 21:00:00,3,46,18,11,2021,17,240.0,255.53333333333333,-11.2,4.333333333333333,0.25888888888888884,16.0,15.533333333333331,17_John_Smith,6,1,1,1,11_46_1,18,18,11/18/2021,11/18/2021
19,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-11-22 17:00:00,2021-11-22 21:00:00,2021-11-22 17:00:00,2021-11-22 21:00:00,,Completed Manually,2021-11-22 17:00:00,2021-11-22 21:00:00,0,47,22,11,2021,17,240.0,240.0,0.0,0.0,0.0,16.0,0.0,17_John_Smith,4,1,1,1,11_47_1,25,22,11/22/2021,11/25/2021
21,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-11-23 17:00:00,2021-11-23 21:00:00,2021-11-23 16:52:22,2021-11-23 21:01:09,,Complete Real Time,2021-11-23 17:00:00,2021-11-23 21:00:00,1,47,23,11,2021,17,240.0,248.78333333333333,-7.633333333333334,1.15,0.14638888888888885,16.0,8.783333333333331,17_John_Smith,1,0,1,1,11_47_1,25,22,11/22/2021,11/25/2021
23,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-11-24 17:00:00,2021-11-24 21:00:00,2021-11-24 16:51:05,2021-11-24 21:00:33,,Complete Real Time,2021-11-24 17:00:00,2021-11-24 21:00:00,2,47,24,11,2021,17,240.0,249.46666666666667,-8.916666666666666,0.55,0.15777777777777782,16.0,9.466666666666669,17_John_Smith,1,0,1,1,11_47_1,25,22,11/22/2021,11/25/2021
25,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-11-25 17:00:00,2021-11-25 21:00:00,2021-11-25 16:50:29,2021-11-25 21:00:09,,Complete Real Time,2021-11-25 17:00:00,2021-11-25 21:00:00,3,47,25,11,2021,17,240.0,249.66666666666666,-9.516666666666667,0.15,0.16111111111111096,16.0,9.666666666666657,17_John_Smith,1,0,1,1,11_47_1,25,22,11/22/2021,11/25/2021
26,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-11-30 17:00:00,2021-11-30 21:00:00,2021-11-30 16:50:40,2021-11-30 21:00:10,,Complete Real Time,2021-11-30 17:00:00,2021-11-30 21:00:00,1,48,30,11,2021,17,240.0,249.5,-9.333333333333334,0.16666666666666666,0.15833333333333333,16.0,9.5,17_John_Smith,5,1,2,1,11_48_2,30,30,11/30/2021,11/30/2021
28,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-12-01 17:00:00,2021-12-01 21:00:00,2021-12-01 16:47:18,2021-12-01 20:57:09,,Complete Real Time,2021-12-01 17:00:00,2021-12-01 21:00:00,2,48,1,12,2021,17,240.0,249.85,-12.7,-2.85,0.16416666666666657,16.0,9.849999999999994,17_John_Smith,1,0,2,1,12_48_2,3,1,12/1/2021,12/3/2021
30,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-12-02 17:00:00,2021-12-02 21:00:00,2021-12-02 17:03:38,2021-12-02 21:05:17,,Complete Real Time,2021-12-02 17:00:00,2021-12-02 21:00:00,3,48,2,12,2021,17,240.0,241.65,3.6333333333333333,5.283333333333333,0.027500000000000094,16.0,1.6500000000000057,17_John_Smith,1,0,2,1,12_48_2,3,1,12/1/2021,12/3/2021
32,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-12-03 17:00:00,2021-12-03 21:00:00,2021-12-03 17:41:42,2021-12-03 21:41:59,,Complete Real Time,2021-12-03 17:00:00,2021-12-03 21:00:00,4,48,3,12,2021,17,240.0,240.28333333333333,41.7,41.983333333333334,0.004722222222222191,16.0,0.28333333333333144,17_John_Smith,1,0,2,1,12_48_2,3,1,12/1/2021,12/3/2021
37,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-12-06 17:00:00,2021-12-06 21:00:00,2021-12-06 17:36:06,2021-12-06 21:36:29,,Complete Real Time,2021-12-06 17:00:00,2021-12-06 21:00:00,0,49,6,12,2021,17,240.0,240.38333333333333,36.1,36.483333333333334,0.006388888888888763,16.0,0.38333333333332575,17_John_Smith,3,1,2,1,12_49_2,6,6,12/6/2021,12/6/2021
42,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-12-13 17:00:00,2021-12-13 21:00:00,2021-12-13 17:00:00,2021-12-13 21:00:00,,Completed Manually,2021-12-13 17:00:00,2021-12-13 21:00:00,0,50,13,12,2021,17,240.0,240.0,0.0,0.0,0.0,16.0,0.0,17_John_Smith,7,1,2,1,12_50_2,17,13,12/13/2021,12/17/2021
44,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-12-14 17:00:00,2021-12-14 21:00:00,2021-12-14 16:51:56,2021-12-15 05:00:23,,Complete Real Time,2021-12-14 17:00:00,2021-12-14 21:00:00,1,50,14,12,2021,17,240.0,728.45,-8.066666666666666,480.3833333333333,8.140833333333335,16.0,488.45000000000005,17_John_Smith,1,0,2,1,12_50_2,17,13,12/13/2021,12/17/2021
46,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-12-15 17:00:00,2021-12-15 21:00:00,2021-12-15 16:50:41,2021-12-15 21:00:47,,Complete Real Time,2021-12-15 17:00:00,2021-12-15 21:00:00,2,50,15,12,2021,17,240.0,250.1,-9.316666666666666,0.7833333333333333,0.16833333333333325,16.0,10.099999999999994,17_John_Smith,1,0,2,1,12_50_2,17,13,12/13/2021,12/17/2021
48,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-12-16 17:00:00,2021-12-16 21:00:00,2021-12-16 17:32:29,2021-12-17 06:42:20,,Complete Real Time,2021-12-16 17:00:00,2021-12-16 21:00:00,3,50,16,12,2021,17,240.0,789.85,32.483333333333334,582.3333333333334,9.164166666666667,16.0,549.85,17_John_Smith,1,0,2,1,12_50_2,17,13,12/13/2021,12/17/2021
50,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-12-17 17:00:00,2021-12-17 21:00:00,2021-12-17 17:00:00,2021-12-17 21:00:00,,Completed Manually,2021-12-17 17:00:00,2021-12-17 21:00:00,4,50,17,12,2021,17,240.0,240.0,0.0,0.0,0.0,16.0,0.0,17_John_Smith,1,0,2,1,12_50_2,17,13,12/13/2021,12/17/2021
56,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-12-20 17:00:00,2021-12-20 21:00:00,2021-12-20 17:00:00,2021-12-20 21:00:00,,Completed Manually,2021-12-20 17:00:00,2021-12-20 21:00:00,0,51,20,12,2021,17,240.0,240.0,0.0,0.0,0.0,16.0,0.0,17_John_Smith,3,1,2,1,12_51_2,24,20,12/20/2021,12/24/2021
57,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-12-21 17:00:00,2021-12-21 21:00:00,2021-12-21 16:50:31,2021-12-21 21:05:58,,Complete Real Time,2021-12-21 17:00:00,2021-12-21 21:00:00,1,51,21,12,2021,17,240.0,255.45,-9.483333333333333,5.966666666666667,0.2574999999999998,16.0,15.449999999999989,17_John_Smith,1,0,2,1,12_51_2,24,20,12/20/2021,12/24/2021
59,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-12-22 17:00:00,2021-12-22 21:00:00,2021-12-22 16:50:59,2021-12-22 21:00:16,,Complete Real Time,2021-12-22 17:00:00,2021-12-22 21:00:00,2,51,22,12,2021,17,240.0,249.28333333333333,-9.016666666666667,0.26666666666666666,0.15472222222222218,16.0,9.283333333333331,17_John_Smith,1,0,2,1,12_51_2,24,20,12/20/2021,12/24/2021
61,"Sample,Inc",Joe,John,Lisa,Smith,Mountain Time,2021-12-23 17:00:00,2021-12-23 21:00:00,2021-12-23 17:00:00,2021-12-23 21:00:00,,Completed Manually,2021-12-23 17:00:00,2021-12-23 21:00:00,3,51,23,12,2021,17,240.0,240.0,0.0,0.0,0.0,16.0,0.0,17_John_Smith,1,0,2,1,12_51_2,24,20,12/20/2021,12/24/2021
